"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2737238","Lorenzo  Livi and Antonello  Rizzi","","","","The Graph Matching Problem","253--283","","31","Graph edit distance, Graph embedding, Graph kernels, Graph-based pattern recognition, Inexact graph matching","10.1007/s10044-012-0284-8","Pattern Anal. Appl.","August    2013","16","3","","August","2013","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2736879","Francesco  Tortorella","","","","Reducing the Classification Cost of Support Vector Classifiers Through an ROC-based Reject Rule","128--143","","16","Cost-sensitive classification, ROC curve, Reject rule, Support vector machines","10.1007/s10044-004-0209-2","Pattern Anal. Appl.","July      2004","7","2","","July","2004","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2736796","Xinbo  Gao and Bing  Xiao and Dacheng  Tao and Xuelong  Li","","","","A Survey of Graph Edit Distance","113--129","","17","Attributed graph, Graph edit distance, Inexact graph matching, Non-attributed graph","10.1007/s10044-008-0141-y","Pattern Anal. Appl.","February  2010","13","1","","February","2010","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2807746","Raquel  Justo and M. In&#233;s Torres","","","","Integration of Complex Language Models in ASR and LU Systems","493--505","","13","Finite-state models, Hierarchical models, Integration architectures, word graph","10.1007/s10044-014-0436-0","Pattern Anal. Appl.","August    2015","18","3","","August","2015","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2736976","Rozenn  Dahyot and Pierre  Charbonnier and Fabrice  Heitz","","","","A Bayesian Approach to Object Detection Using Probabilistic Appearance-based Models","317--332","","16","Bayesian approach, Eigenspace representation, Half-quadratic algorithms, M-estimators, Non-Gaussian models, Probabilistic PCA","10.1007/s10044-004-0230-5","Pattern Anal. Appl.","September 2004","7","3","","September","2004","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","1404300","I.  Karoui and R.  Fablet and J.-M.  Boucher and W.  Pieczynski and J.-M.  Augustin","","","","Fusion of Textural Statistics Using a Similarity Measure: Application to Texture Recognition and Segmentation","425--434","","10","Feature fusion and selection, MRF-based texture segmentation, Non-parametric feature statistics, Texture recognition","10.1007/s10044-008-0108-z","Pattern Anal. Appl.","August 2008","11","3-4","","August","2008","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","1013918","Francesco  Tortorella","","","","Reducing the Classification Cost of Support Vector Classifiers Through an ROC-based Reject Rule","128--143","","16","Cost-sensitive classification, ROC curve, Reject rule, Support vector machines","10.1007/s10044-004-0209-2","Pattern Anal. Appl.","July 2004","7","2","","July","2004","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2007101","Vinay  Kukreja and Jaiteg  Singh and Anju  Sharma","","","","Contemporary Study of Cloud Computing Environment","233--235","","3","DaaS, Haas, PaaS, SLA's, SaaS, cloud computing","10.1145/2007052.2007101","","","","","","","2011","","Proceedings of the International Conference on Advances in Computing and Artificial Intelligence","ACAI '11","","978-1-4503-0635-5","Rajpura/Punjab, India","ACM","New York, NY, USA"
"article","2736977","Rozenn  Dahyot and Pierre  Charbonnier and Fabrice  Heitz","","","","A Bayesian Approach to Object Detection Using Probabilistic Appearance-based Models","317--332","","16","Bayesian approach, Eigenspace representation, Half-quadratic algorithms, M-estimators, Non-Gaussian models, Probabilistic PCA","10.1007/BF02683997","Pattern Anal. Appl.","September 2004","7","3","","September","2004","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","3127612","Wei-Chao  Lin","","","","On Image Search Result Aggregation","865--870","","6","Borda count, Image retrieval, Information fusion, Search result aggregation","10.1007/s10044-017-0596-9","Pattern Anal. Appl.","August    2017","20","3","","August","2017","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2683329","Sambuddha  Kumar and Sumana  Gupta","","","","Color Video Compression Using Color Mapping into Textured Grayscale Video Frames","809--822","","14","Color transfer, Discrete wavelet frame transform (DWFT), Discrete wavelet transform (DWT), H.264, Intra (I) frame","10.1007/s10044-013-0360-8","Pattern Anal. Appl.","November  2014","17","4","","November","2014","1433-7541","","","","","","Springer-Verlag","London, UK, UK"
"article","2760049","Michael  Hahn and Santiago G&#243;mez S&#225;ez and Vasilios  Andrikopoulos and Dimka  Karastoyanova and Frank  Leymann","","","","Development and Evaluation of a Multi-tenant Service Middleware PaaS Solution","278--287","","10","Multi-tenancy, Cloud middleware, PaaS, Performance Evaluation","10.1109/UCC.2014.37","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
